uid,kind,band,reason,model,date,batch
src/java/org/apache/cassandra/audit/AuditLogOptions.java:200#1,row,D,builder sentinel test on an unset audit option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/audit/AuditLogOptions.java:209#1,row,D,builder sentinel test on an unset audit option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/audit/AuditLogOptions.java:218#1,row,D,builder sentinel test on an unset audit option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/AuthConfig.java:59#1,row,D,config default comparison against a literal timeout,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/AuthConfig.java:59#2,row,D,config default comparison against a literal entry count,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/CIDRGroupsMappingIntervalTree.java:189#1,row,D,interval-tree child index bookkeeping,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/CIDRGroupsMappingIntervalTree.java:195#1,row,D,interval-tree child index bookkeeping,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/CIDRGroupsMappingIntervalTree.java:266#1,row,D,binary search index bookkeeping,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/DataResource.java:147#1,row,D,resource-name token count while parsing,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/DataResource.java:150#1,row,D,resource-name token count while parsing,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/FunctionResource.java:193#1,row,D,resource-name token count while parsing,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/FunctionResource.java:196#1,row,D,resource-name token count while parsing,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/JMXResource.java:79#1,row,D,resource-name token count while parsing,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/MutualTlsWithPasswordFallbackAuthenticator.java:47#1,row,D,"SASL negotiator selection, no quantity compared",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/PasswordAuthenticator.java:292#1,row,D,credential field delimiter position while decoding,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/PasswordAuthenticator.java:305#1,row,D,credential token count while decoding,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/PasswordAuthenticator.java:307#1,row,D,credential token count while decoding,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/RoleResource.java:104#1,row,D,resource-name token count while parsing,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/SpiffeCertificateValidator.java:81#1,row,D,certificate SAN type tag comparison,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/auth/jmx/AuthorizationProxy.java:153#1,row,D,JMX invoke argument count,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/batchlog/BatchlogManager.java:242#1,row,D,"rate limiter setter, no allocation decided",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/batchlog/BatchlogManager.java:296#1,row,D,"batchlog page counter against page size, a paging bound",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:505#1,row,D,startup validation of a duration option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:513#1,row,D,startup validation of a duration option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:517#1,row,D,startup validation of a duration option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:525#1,row,D,startup validation of a duration option,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:588#1,row,D,"startup validation of a size option, zero-means-default",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:591#1,row,D,"startup validation of a size option, zero-means-default",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:684#1,row,D,"startup validation of a size option, zero-means-default",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:704#1,row,D,"startup validation, empty array test",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:753#1,row,D,startup validation of a writer count,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:800#1,row,D,"startup validation of a cache size, zero-means-default",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:891#1,row,D,"startup validation of a size option, zero-means-default",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:933#1,row,D,"startup validation, port collision test",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:944#1,row,D,"startup validation of a size option, zero-means-default",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1342#1,row,D,seed provider list emptiness test,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1412#1,row,D,token list size test at startup,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1418#1,row,D,token count consistency test at startup,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1812#1,row,D,sentinel test on an update interval setter,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1867#1,row,D,sentinel test on an update interval setter,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1902#1,row,D,sentinel test on an update interval setter,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:1946#1,row,D,startup directory list emptiness test,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:2353#1,row,D,"timeout accessor, no allocation decided",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:2505#1,row,D,throughput setter sentinel for unlimited,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:2656#1,row,D,throughput setter sentinel for unlimited,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:2721#1,row,D,throughput setter sentinel for unlimited,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:3369#1,row,B,"setter for a real in-flight byte limit, but config plumbing not an enforcement site",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:3386#1,row,B,"setter for a real in-flight byte limit, but config plumbing not an enforcement site",claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:4146#1,row,D,sentinel test on a resize interval setter,claude-opus-5,2026-09-23,batch-01.txt
src/java/org/apache/cassandra/config/DatabaseDescriptor.java:4471#1,row,D,concurrent task count setter,claude-opus-5,2026-09-23,batch-01.txt
