[2026-04-23T01:44:39.212-0400][0.010s][982792][982793][debug] Minimum heap 201326592  Initial heap 201326592  Maximum heap 201326592
[2026-04-23T01:44:39.213-0400][0.011s][982792][982793][info ] Using G1
[2026-04-23T01:44:39.213-0400][0.011s][982792][982793][trace] Trying to allocate at address 0x00000000f4000000 heap of size 0xc000000
[2026-04-23T01:44:39.213-0400][0.011s][982792][982793][debug] Heap address: 0x00000000f4000000, size: 192 MB, Compressed Oops mode: 32-bit
[2026-04-23T01:44:39.214-0400][0.012s][982792][982793][debug] Expand the heap. requested expansion amount: 201326592B expansion amount: 201326592B
[2026-04-23T01:44:39.214-0400][0.012s][982792][982793][debug] Running G1 PreTouch with 8 workers for 48 work units pre-touching 201326592B.
[2026-04-23T01:44:39.233-0400][0.031s][982792][982793][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 3145728B.
[2026-04-23T01:44:39.234-0400][0.033s][982792][982793][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 3145728B.
[2026-04-23T01:44:39.236-0400][0.034s][982792][982793][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 393216B.
[2026-04-23T01:44:39.236-0400][0.034s][982792][982793][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 393216B.
[2026-04-23T01:44:39.237-0400][0.035s][982792][982793][debug] Running G1 PreTouch with 1 workers for 1 work units pre-touching 393216B.
[2026-04-23T01:44:39.237-0400][0.035s][982792][982793][debug] Activate regions [0, 12)
[2026-04-23T01:44:39.256-0400][0.054s][982792][982793][debug] Clearing root 2096: was 0x00000000fef55848
[2026-04-23T01:44:39.256-0400][0.054s][982792][982793][debug] Clearing root 2097: was 0x00000000fef56af8
[2026-04-23T01:44:39.256-0400][0.054s][982792][982793][debug] Clearing root 2098: was 0x00000000fef5cd48
[2026-04-23T01:44:39.256-0400][0.054s][982792][982793][debug] Clearing root 2099: was 0x00000000fef56200
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2100: was 0x00000000fef56650
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2101: was 0x00000000fef56a10
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2102: was 0x00000000fef56118
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2103: was 0x00000000fef5e8a8
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2104: was 0x00000000fef62f08
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2105: was 0x00000000fef633f8
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2106: was 0x00000000fef62698
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2107: was 0x00000000fef62228
[2026-04-23T01:44:39.256-0400][0.055s][982792][982793][debug] Clearing root 2108: was 0x00000000fef568e8
